sample_id,article_id,exclude,exclude_reason,ppc_linked
random,1,EXCLUDE,NO ACCESS,NA
random,2,RETAIN,NA,FALSE
random,3,RETAIN,NA,FALSE
random,4,RETAIN,NA,FALSE
random,5,RETAIN,NA,FALSE
random,6,RETAIN,NA,FALSE
random,7,RETAIN,NA,FALSE
random,8,RETAIN,NA,FALSE
random,9,RETAIN,NA,FALSE
random,10,RETAIN,NA,FALSE
random,11,RETAIN,NA,FALSE
random,12,RETAIN,NA,FALSE
random,13,RETAIN,NA,FALSE
random,14,EXCLUDE,NON-ENGLISH,NA
random,15,RETAIN,NA,FALSE
random,16,RETAIN,NA,FALSE
random,17,EXCLUDE,NOT EMPIRICAL,NA
random,18,RETAIN,NA,FALSE
random,19,RETAIN,NA,FALSE
random,20,RETAIN,NA,FALSE
random,21,RETAIN,NA,FALSE
random,22,EXCLUDE,NOT EMPIRICAL,NA
random,23,EXCLUDE,NOT EMPIRICAL,NA
random,24,RETAIN,NA,FALSE
random,25,RETAIN,NA,FALSE
random,26,RETAIN,NA,FALSE
random,27,RETAIN,NA,FALSE
random,28,RETAIN,NA,FALSE
random,29,RETAIN,NA,FALSE
random,30,EXCLUDE,NOT EMPIRICAL,NA
random,31,RETAIN,NA,FALSE
random,32,RETAIN,NA,FALSE
random,33,RETAIN,NA,FALSE
random,34,RETAIN,NA,FALSE
random,35,EXCLUDE,NO ACCESS,NA
random,36,RETAIN,NA,FALSE
random,37,RETAIN,NA,FALSE
random,38,EXCLUDE,NON-ENGLISH,NA
random,39,EXCLUDE,NOT EMPIRICAL,NA
random,40,EXCLUDE,NOT EMPIRICAL,NA
random,41,RETAIN,NA,FALSE
random,42,RETAIN,NA,FALSE
random,43,EXCLUDE,NO ACCESS,NA
random,44,RETAIN,NA,FALSE
random,45,RETAIN,NA,FALSE
random,46,RETAIN,NA,FALSE
random,47,RETAIN,NA,FALSE
random,48,EXCLUDE,NOT EMPIRICAL,NA
random,49,EXCLUDE,NON-ENGLISH,NA
random,50,RETAIN,NA,FALSE
random,51,EXCLUDE,NON-ENGLISH,NA
random,52,RETAIN,NA,FALSE
random,53,RETAIN,NA,FALSE
random,54,EXCLUDE,NO ACCESS,NA
random,55,EXCLUDE,NOT EMPIRICAL,NA
random,56,RETAIN,NA,FALSE
random,57,RETAIN,NA,FALSE
random,58,RETAIN,NA,FALSE
random,59,RETAIN,NA,FALSE
random,60,RETAIN,NA,FALSE
random,61,EXCLUDE,NOT EMPIRICAL,NA
random,62,RETAIN,NA,FALSE
random,63,RETAIN,NA,FALSE
random,64,RETAIN,NA,FALSE
random,65,RETAIN,NA,FALSE
random,66,RETAIN,NA,FALSE
random,67,RETAIN,NA,FALSE
random,68,EXCLUDE,NO ACCESS,NA
random,69,RETAIN,NA,FALSE
random,70,RETAIN,NA,FALSE
random,71,RETAIN,NA,FALSE
random,72,EXCLUDE,NOT EMPIRICAL,NA
random,73,EXCLUDE,NO ACCESS,NA
random,74,RETAIN,NA,FALSE
random,75,RETAIN,NA,FALSE
random,76,RETAIN,NA,FALSE
random,77,RETAIN,NA,FALSE
random,78,EXCLUDE,NO ACCESS,NA
random,79,RETAIN,NA,FALSE
random,80,RETAIN,NA,FALSE
random,81,EXCLUDE,NO ACCESS,NA
random,82,RETAIN,NA,FALSE
random,83,RETAIN,NA,FALSE
random,84,RETAIN,NA,FALSE
random,85,RETAIN,NA,FALSE
random,86,RETAIN,NA,FALSE
random,87,EXCLUDE,NOT EMPIRICAL,NA
random,88,RETAIN,NA,FALSE
random,89,RETAIN,NA,FALSE
random,90,RETAIN,NA,FALSE
random,91,RETAIN,NA,FALSE
random,92,RETAIN,NA,FALSE
random,93,RETAIN,NA,FALSE
random,94,RETAIN,NA,FALSE
random,95,RETAIN,NA,FALSE
random,96,RETAIN,NA,FALSE
random,97,RETAIN,NA,FALSE
random,98,RETAIN,NA,FALSE
random,99,RETAIN,NA,FALSE
random,100,RETAIN,NA,FALSE
random,101,EXCLUDE,NOT EMPIRICAL,NA
random,102,RETAIN,NA,FALSE
random,103,EXCLUDE,NOT EMPIRICAL,NA
random,104,EXCLUDE,NOT EMPIRICAL,NA
random,105,RETAIN,NA,FALSE
random,106,RETAIN,NA,FALSE
random,107,RETAIN,NA,FALSE
random,108,RETAIN,NA,FALSE
random,109,RETAIN,NA,FALSE
random,110,RETAIN,NA,FALSE
random,111,RETAIN,NA,FALSE
random,112,EXCLUDE,NOT EMPIRICAL,NA
random,113,EXCLUDE,NOT EMPIRICAL,NA
random,114,RETAIN,NA,FALSE
random,115,RETAIN,NA,FALSE
random,116,RETAIN,NA,FALSE
random,117,EXCLUDE,NOT EMPIRICAL,NA
random,118,RETAIN,NA,FALSE
random,119,RETAIN,NA,FALSE
random,120,RETAIN,NA,FALSE
random,121,RETAIN,NA,FALSE
random,122,RETAIN,NA,FALSE
random,123,EXCLUDE,NOT EMPIRICAL,NA
random,124,EXCLUDE,NO ACCESS,NA
random,125,RETAIN,NA,FALSE
random,126,RETAIN,NA,FALSE
random,127,RETAIN,NA,FALSE
random,128,RETAIN,NA,FALSE
random,129,RETAIN,NA,FALSE
random,130,EXCLUDE,NOT EMPIRICAL,NA
random,131,RETAIN,NA,FALSE
random,132,RETAIN,NA,FALSE
random,133,RETAIN,NA,FALSE
prominent,1,RETAIN,NA,FALSE
prominent,2,EXCLUDE,CONFERENCE ABSTRACT,NA
prominent,3,RETAIN,NA,FALSE
prominent,4,RETAIN,NA,FALSE
prominent,5,RETAIN,NA,FALSE
prominent,6,RETAIN,NA,FALSE
prominent,7,EXCLUDE,NOT EMPIRICAL,NA
prominent,8,RETAIN,NA,FALSE
prominent,9,RETAIN,NA,FALSE
prominent,10,RETAIN,NA,FALSE
prominent,11,RETAIN,NA,FALSE
prominent,12,RETAIN,NA,FALSE
prominent,13,RETAIN,NA,FALSE
prominent,14,RETAIN,NA,FALSE
prominent,15,RETAIN,NA,FALSE
prominent,16,RETAIN,NA,FALSE
prominent,17,RETAIN,NA,FALSE
prominent,18,EXCLUDE,NOT EMPIRICAL,NA
prominent,19,RETAIN,NA,FALSE
prominent,20,RETAIN,NA,FALSE
prominent,21,RETAIN,NA,FALSE
prominent,22,RETAIN,NA,FALSE
prominent,23,RETAIN,NA,FALSE
prominent,24,RETAIN,NA,FALSE
prominent,25,RETAIN,NA,FALSE
prominent,26,EXCLUDE,NOT EMPIRICAL,NA
prominent,27,EXCLUDE,NOT EMPIRICAL,NA
prominent,28,RETAIN,NA,FALSE
prominent,29,EXCLUDE,RETRACTED,NA
prominent,30,RETAIN,NA,FALSE
prominent,31,RETAIN,NA,FALSE
prominent,32,RETAIN,NA,FALSE
prominent,33,RETAIN,NA,FALSE
prominent,34,EXCLUDE,NOT EMPIRICAL,NA
prominent,35,RETAIN,NA,FALSE
prominent,36,RETAIN,NA,FALSE
prominent,37,EXCLUDE,NOT EMPIRICAL,NA
prominent,38,RETAIN,NA,TRUE
prominent,39,EXCLUDE,NOT EMPIRICAL,NA
prominent,40,RETAIN,NA,FALSE
prominent,41,RETAIN,NA,FALSE
prominent,42,RETAIN,NA,FALSE
prominent,43,RETAIN,NA,FALSE
prominent,44,RETAIN,NA,FALSE
prominent,45,RETAIN,NA,FALSE
prominent,46,EXCLUDE,NOT EMPIRICAL,NA
prominent,47,RETAIN,NA,FALSE
prominent,48,RETAIN,NA,FALSE
prominent,49,EXCLUDE,NOT EMPIRICAL,NA
prominent,50,RETAIN,NA,FALSE
prominent,51,RETAIN,NA,FALSE
prominent,52,RETAIN,NA,FALSE
prominent,53,RETAIN,NA,FALSE
prominent,54,EXCLUDE,RETRACTED,NA
prominent,55,RETAIN,NA,FALSE
prominent,56,EXCLUDE,CONFERENCE ABSTRACT,NA
prominent,57,RETAIN,NA,FALSE
prominent,58,RETAIN,NA,FALSE
prominent,59,RETAIN,NA,FALSE
prominent,60,RETAIN,NA,FALSE
prominent,61,RETAIN,NA,FALSE
prominent,62,RETAIN,NA,FALSE
prominent,63,EXCLUDE,NOT EMPIRICAL,NA
prominent,64,RETAIN,NA,FALSE
prominent,65,RETAIN,NA,FALSE
prominent,66,RETAIN,NA,FALSE
prominent,67,RETAIN,NA,FALSE
prominent,68,RETAIN,NA,FALSE
prominent,69,RETAIN,NA,FALSE
prominent,70,RETAIN,NA,FALSE
prominent,71,RETAIN,NA,FALSE
prominent,72,EXCLUDE,NOT EMPIRICAL,NA
prominent,73,EXCLUDE,NOT EMPIRICAL,NA
prominent,74,RETAIN,NA,FALSE
prominent,75,RETAIN,NA,FALSE
prominent,76,RETAIN,NA,FALSE
prominent,77,EXCLUDE,NOT EMPIRICAL,NA
prominent,78,RETAIN,NA,FALSE
prominent,79,EXCLUDE,NOT EMPIRICAL,NA
prominent,80,RETAIN,NA,FALSE
prominent,81,RETAIN,NA,FALSE
prominent,82,EXCLUDE,NOT EMPIRICAL,NA
prominent,83,RETAIN,NA,FALSE
prominent,84,RETAIN,NA,FALSE
prominent,85,EXCLUDE,CONFERENCE ABSTRACT,NA
prominent,86,RETAIN,NA,FALSE
prominent,87,RETAIN,NA,FALSE
prominent,88,EXCLUDE,NOT EMPIRICAL,NA
prominent,89,RETAIN,NA,FALSE
prominent,90,RETAIN,NA,FALSE
prominent,91,RETAIN,NA,FALSE
prominent,92,RETAIN,NA,FALSE
prominent,93,RETAIN,NA,FALSE
prominent,94,RETAIN,NA,FALSE
prominent,95,EXCLUDE,NOT EMPIRICAL,NA
prominent,96,EXCLUDE,NOT EMPIRICAL,NA
prominent,97,RETAIN,NA,FALSE
prominent,98,EXCLUDE,NOT EMPIRICAL,NA
prominent,99,RETAIN,NA,FALSE
prominent,100,RETAIN,NA,FALSE
prominent,101,EXCLUDE,NOT EMPIRICAL,NA
prominent,102,EXCLUDE,NOT EMPIRICAL,NA
prominent,103,RETAIN,NA,FALSE
prominent,104,EXCLUDE,NOT EMPIRICAL,NA
prominent,105,RETAIN,NA,FALSE
prominent,106,RETAIN,NA,FALSE
prominent,107,EXCLUDE,NOT EMPIRICAL,NA
prominent,108,EXCLUDE,NOT EMPIRICAL,NA
prominent,109,RETAIN,NA,FALSE
prominent,110,RETAIN,NA,FALSE
prominent,111,EXCLUDE,NOT EMPIRICAL,NA
prominent,112,RETAIN,NA,FALSE
prominent,113,RETAIN,NA,FALSE
prominent,114,EXCLUDE,NOT EMPIRICAL,NA
prominent,115,EXCLUDE,NOT EMPIRICAL,NA
prominent,116,EXCLUDE,NOT EMPIRICAL,NA
prominent,117,RETAIN,NA,FALSE
prominent,118,RETAIN,NA,FALSE
prominent,119,EXCLUDE,NOT EMPIRICAL,NA
prominent,120,RETAIN,NA,FALSE
prominent,121,EXCLUDE,OTHER,NA
prominent,122,EXCLUDE,NOT EMPIRICAL,NA
prominent,123,RETAIN,NA,FALSE
prominent,124,RETAIN,NA,FALSE
prominent,125,RETAIN,NA,FALSE
prominent,126,EXCLUDE,NOT EMPIRICAL,NA
prominent,127,RETAIN,NA,FALSE
prominent,128,EXCLUDE,OTHER,NA
prominent,129,RETAIN,NA,FALSE
prominent,130,EXCLUDE,NOT EMPIRICAL,NA
prominent,131,RETAIN,NA,FALSE
prominent,132,EXCLUDE,OTHER,NA
prominent,133,EXCLUDE,OTHER,NA
prominent,134,RETAIN,NA,FALSE
prominent,135,EXCLUDE,OTHER,NA
prominent,136,EXCLUDE,OTHER,NA
prominent,137,RETAIN,NA,FALSE
prominent,138,EXCLUDE,NOT EMPIRICAL,NA
prominent,139,RETAIN,NA,FALSE
prominent,140,EXCLUDE,NOT EMPIRICAL,NA
prominent,141,RETAIN,NA,FALSE
prominent,142,EXCLUDE,NOT EMPIRICAL,NA
prominent,143,RETAIN,NA,FALSE
prominent,144,RETAIN,NA,FALSE
prominent,145,RETAIN,NA,FALSE
prominent,146,EXCLUDE,NOT EMPIRICAL,NA
prominent,147,RETAIN,NA,FALSE
prominent,148,RETAIN,NA,FALSE
